car_id	vel	pos_x	pos_y	pvel	ppos_x	ppos_y	prob
59015_59015_375_0	9.12242388595268	17112.7270088426	20038.9058712736	9.273897338802	17069.6414662424	20038.2421607658	0.6648611395802887
59015_59015_375_0	7.59704780208911	17119.9229947579	20038.8486802097	9.273897338802	17069.6414662424	20038.2421607658	0.607839120673827
59015_59015_375_0	3.45327748937083	17123.1819563872	20038.5808442072	9.273897338802	17069.6414662424	20038.2421607658	0.4668947704354469
68422_68422_381_0	14.3613028856444	17128.77338732	20081.3519118194	14.4520747353539	17129.0719698701	20094.5896468432	0.663152447988068
68422_68422_381_0	14.3338153909875	17128.4753762562	20068.1395137844	14.4520747353539	17129.0719698701	20094.5896468432	0.6615992297575201
68422_68422_381_0	14.1401451017691	17128.1813917468	20055.1056340908	14.4520747353539	17129.0719698701	20094.5896468432	0.6507040884536316
68422_68422_381_0	14.3872099075683	17127.8822705697	20041.8440189014	14.4520747353539	17129.0719698701	20094.5896468432	0.6646179103430103
50829_50829_369_0	15.3768885485376	17128.5874668208	20073.1090781248	15.1782823442029	17128.9071641792	20087.2829436658	0.6809215350758672
50829_50829_369_0	16.0991328944698	17128.2527534461	20058.269473594	15.1782823442029	17128.9071641792	20087.2829436658	0.7263924400400689
50829_50829_369_0	15.8789018487571	17127.9226188445	20043.6328701593	15.1782823442029	17128.9071641792	20087.2829436658	0.7123948501038979
68248_68248_381_0	13.1043686841469	17128.7065708	20078.3895840225	12.6785724880726	17128.9790207197	20090.4687220837	0.689058503394199
68248_68248_381_0	13.2550405318237	17128.4309882964	20066.1715620445	12.6785724880726	17128.9790207197	20090.4687220837	0.6963614918161216
53787_53787_371_0	13.3169911574017	17128.5978000528	20073.5672046542	13.6747178886481	17128.8746705576	20085.8423305018	0.6496828126071865
68248_68248_381_0	12.3257176974875	17128.1747271305	20054.8101565956	12.6785724880726	17128.9790207197	20090.4687220837	0.6518765637048987
53787_53787_371_0	12.1068142598512	17128.346090058	20062.4075765599	13.6747178886481	17128.8746705576	20085.8423305018	0.5886753407981631
68248_68248_381_0	12.9320383077341	17127.905860092	20042.8898665079	12.6785724880726	17128.9790207197	20090.4687220837	0.6807478606182338
53787_53787_371_0	12.2325949916181	17128.0917649849	20051.1320082886	13.6747178886481	17128.8746705576	20085.8423305018	0.5948730029876867
47922_47922_365_0	13.7198086710145	17128.7941690583	20082.2732755909	14.077368507065	17129.0794144495	20094.919704206	0.6488872529693401
47922_47922_365_0	14.0134070517692	17128.5028195306	20069.3562184959	14.077368507065	17129.0794144495	20094.919704206	0.6647666982566921
66488_66488_380_0	13.5986875986502	17128.8218222657	20083.4992877345	12.8676178765771	17129.1045494565	20096.0340712799	0.7044057727930672
47922_47922_365_0	13.0543441736802	17128.231409659	20057.3231912381	14.077368507065	17129.0794144495	20094.919704206	0.6135836065792396
66488_66488_380_0	13.5509082624976	17128.5400884441	20071.0085454711	12.8676178765771	17129.1045494565	20096.0340712799	0.7020354204985586
47922_47922_365_0	13.4977205128838	17127.9507816517	20044.8814755389	14.077368507065	17129.0794144495	20094.919704206	0.6369972376027508
73986_73986_385_0	13.0734524582293	17128.7461832467	20080.1458121531	14.1943614042752	17129.0179903943	20092.1964527437	0.607758397174475
66488_66488_380_0	13.8419777707717	17128.2523030632	20058.2495057521	12.8676178765771	17129.1045494565	20096.0340712799	0.7165285663849369
73986_73986_385_0	14.4054297003104	17128.4466832662	20066.8674026108	14.1943614042752	17129.0179903943	20092.1964527437	0.6799520034328396
66488_66488_380_0	12.8701077048722	17127.9847236097	20046.3863010776	12.8676178765771	17129.1045494565	20096.0340712799	0.6686459347513445
73986_73986_385_0	13.2085725897213	17128.172066867	20054.6922131188	14.1943614042752	17129.0179903943	20092.1964527437	0.6149006078618271
73986_73986_385_0	13.3782640829804	17127.8939224509	20042.3606080813	14.1943614042752	17129.0179903943	20092.1964527437	0.6239300748152575
43856_43856_362_0	9.49317779487118	17128.7837999844	20081.813560002	10.0014762328204	17128.9811704637	20090.5640315423	0.6501747328819044
43856_43856_362_0	10.009559024541	17128.5756935415	20072.587106725	10.0014762328204	17128.9811704637	20090.5640315423	0.6705190746069081
43856_43856_362_0	9.38207936691705	17128.3806328841	20063.9390417395	10.0014762328204	17128.9811704637	20090.5640315423	0.6458369715324176
49685_49685_367_0	10.4362463608169	17128.7454191677	20080.1119365108	9.25038488064162	17128.962396769	20089.7316949037	0.7168121670030865
43856_43856_362_0	9.88220579826392	17128.1751742129	20054.8299781086	10.0014762328204	17128.9811704637	20090.5640315423	0.6654740461867115
49685_49685_367_0	9.59180866080181	17128.5459980767	20071.2705505682	9.25038488064162	17128.962396769	20089.7316949037	0.6838162279682989
53204_53204_371_0	10.3775663891669	17128.9166364152	20087.702897716	9.10088942428541	17129.1323940147	20097.2685670111	0.7201867671701228
43856_43856_362_0	9.55594526810691	17127.9764987494	20046.0216497579	10.0014762328204	17128.9811704637	20090.5640315423	0.6526316630757565
49685_49685_367_0	10.0262390906187	17128.3375448424	20062.0287222032	9.25038488064162	17128.962396769	20089.7316949037	0.7007057608835191
53204_53204_371_0	9.09078049477857	17128.7276320858	20079.3233416055	9.10088942428541	17129.1323940147	20097.2685670111	0.6703823924661823
